user_id,segment,operation,date_time
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_CAARRR_FFGD,add,2023-08-30 20:20:53
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_VOICE_MESSAGES,delete,2023-08-30 20:21:34
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_CAARRR_FFGD,delete,2023-08-30 20:21:34
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_VOICE_MESSAGES,add,2023-08-30 20:21:37
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_CAARRR_FFGD,add,2023-08-30 20:21:37
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_VOICE_MESSAGES,delete,2023-08-30 20:22:52
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_CAARRR_FFGD,delete,2023-08-30 20:22:52
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_VOICE_MESSAGES,add,2023-08-30 20:22:54
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_CAARRR_FFGD,add,2023-08-30 20:22:54
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_VOICE_MESSAGES,delete,2023-08-31 14:45:40
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_CAARRR_FFGD,delete,2023-08-31 14:45:40
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_VOICE_MESSAGES,delete,2023-08-31 14:45:40
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_CAARRR_FFGD,delete,2023-08-31 14:45:40
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_VOICE_MESSAGES,add,2023-08-31 14:45:43
0fa0c12b-32a5-49ef-bbb5-3539f8f67971,AVITO_CAARRR_FFGD,add,2023-08-31 14:45:43
